x,y,theta
7,2,3.14
6.975,2.0186,3.14
6.95,2.0372,3.14
6.925,2.0558,3.14
6.9,2.0744,3.14
6.875,2.093,3.14
6.85,2.1116,3.14
6.825,2.1302,3.14
6.8,2.1488,3.14
6.775,2.1674,3.14
6.75,2.186,3.14
6.725,2.2046,3.14
6.7,2.2232,3.14
6.675,2.2418,3.14
6.65,2.2604,3.14
6.625,2.279,3.14
6.6,2.2976,3.14
6.575,2.3162,3.14
6.55,2.3348,3.14
6.525,2.3534,3.14
6.5,2.372,3.14
6.475,2.3906,3.14
6.45,2.4092,3.14
6.425,2.4278,3.14
6.4,2.4464,3.14
6.375,2.465,3.14
6.35,2.4836,3.14
6.325,2.5022,3.14
6.3,2.5208,3.14
6.275,2.5394,3.14
6.25,2.558,3.14
6.225,2.5766,3.14
6.2,2.5952,3.14
6.175,2.6138,3.14
6.15,2.6324,3.14
6.125,2.651,3.14
6.1,2.6696,3.14
6.075,2.6882,3.14
6.05,2.7068,3.14
6.025,2.7254,3.14
6,2.744,3.14
5.975,2.7626,3.14
5.95,2.7812,3.14
5.925,2.7998,3.14
5.9,2.8184,3.14
5.875,2.837,3.14
5.85,2.8556,3.14
5.825,2.8742,3.14
5.8,2.8928,3.14
5.775,2.9114,3.14
5.75,2.93,3.14
5.725,2.9486,3.14
5.7,2.9672,3.14
5.675,2.9858,3.14
5.65,3.0044,3.14
5.625,3.023,3.14
5.6,3.0416,3.14
5.575,3.0602,3.14
5.55,3.0788,3.14
5.525,3.0974,3.14
5.5,3.116,3.14
5.475,3.1346,3.14
5.45,3.1532,3.14
5.425,3.1718,3.14
5.4,3.1904,3.14
5.375,3.209,3.14
5.35,3.2276,3.14
5.325,3.2462,3.14
5.3,3.2648,3.14
5.275,3.2834,3.14
5.25,3.302,3.14
5.225,3.3206,3.14
5.2,3.3392,3.14
5.175,3.3578,3.14
5.15,3.3764,3.14
5.125,3.395,3.14
5.1,3.4136,3.14
5.075,3.4322,3.14
5.05,3.4508,3.14
5.025,3.4694,3.14
5,3.488,3.14
4.975,3.5066,3.14
4.95,3.5252,3.14
4.925,3.5438,3.14
4.9,3.5624,3.14
4.875,3.581,3.14
4.85,3.5996,3.14
4.825,3.6182,3.14
4.8,3.6368,3.14
4.775,3.6554,3.14
4.75,3.674,3.14
4.725,3.6926,3.14
4.7,3.7112,3.14
4.675,3.7298,3.14
4.65,3.7484,3.14
4.625,3.767,3.14
4.6,3.7856,3.14
4.575,3.8042,3.14
4.55,3.8228,3.14
4.525,3.8414,3.14
4.5,3.86,3.14
4.475,3.8786,3.14
4.45,3.8972,3.14
4.425,3.9158,3.14
4.4,3.9344,3.14
4.375,3.953,3.14
4.35,3.9716,3.14
4.325,3.9902,3.14
4.3,4.0088,3.14
4.275,4.0274,3.14
4.25,4.046,3.14
4.225,4.0646,3.14
4.2,4.0832,3.14
4.175,4.1018,3.14
4.15,4.1204,3.14
4.125,4.139,3.14
4.1,4.1576,3.14
4.075,4.1762,3.14
4.05,4.1948,3.14
4.025,4.2134,3.14
4,4.232,3.14
3.975,4.2506,3.14
3.95,4.2692,3.14
3.925,4.2878,3.14
3.9,4.3064,3.14
3.875,4.325,3.14
3.85,4.3436,3.14
3.825,4.3622,3.14
3.8,4.3808,3.14
3.775,4.3994,3.14
3.75,4.418,3.14
3.725,4.4366,3.14
3.7,4.4552,3.14
3.675,4.4738,3.14
3.65,4.4924,3.14
3.625,4.511,3.14
3.6,4.5296,3.14
3.575,4.5482,3.14
3.55,4.5668,3.14
3.525,4.5854,3.14
3.5,4.604,3.14
3.475,4.6226,3.14
3.45,4.6412,3.14
3.425,4.6598,3.14
3.4,4.6784,3.14
3.375,4.697,3.14
3.35,4.7156,3.14
3.325,4.7342,3.14
3.3,4.7528,3.14
3.275,4.7714,3.14
3.25,4.79,3.14
3.225,4.8086,3.14
3.2,4.8272,3.14
3.175,4.8458,3.14
3.15,4.8644,3.14
3.125,4.883,3.14
3.1,4.9016,3.14
3.075,4.9202,3.14
3.05,4.9388,3.14
3.025,4.9574,3.14
3,4.976,3.14
2.975,4.9946,3.14
2.95,5.0132,3.14
2.925,5.0318,3.14
2.9,5.0504,3.14
2.875,5.069,3.14
2.85,5.0876,3.14
2.825,5.1062,3.14
2.8,5.1248,3.14
2.775,5.1434,3.14
2.75,5.162,3.14
2.725,5.1806,3.14
2.7,5.1992,3.14
2.675,5.2178,3.14
2.65,5.2364,3.14
2.625,5.255,3.14
2.6,5.2736,3.14
2.575,5.2922,3.14
2.55,5.3108,3.14
2.525,5.3294,3.14
2.5,5.348,3.14
2.475,5.3666,3.14
2.45,5.3852,3.14
2.425,5.4038,3.14
2.4,5.4224,3.14
2.375,5.441,3.14
2.35,5.4596,3.14
2.325,5.4782,3.14
2.3,5.4968,3.14
2.275,5.5154,3.14
2.25,5.534,3.14
2.225,5.5526,3.14
2.2,5.5712,3.14
2.175,5.5898,3.14
2.15,5.6084,3.14
2.125,5.627,3.14
2.1,5.6456,3.14
2.075,5.6642,3.14
2.05,5.6828,3.14
2.025,5.7014,3.14
2,5.72,3.14
