x,y,theta,u,v,r
1.5,5,0,0.2,0,0
1.52,5,0,0.2,0,0
1.54,5,0,0.2,0,0
1.56,5,0,0.2,0,0
1.58,5,0,0.2,0,0
1.6,5,0,0.2,0,0
1.62,5,0,0.2,0,0
1.64,5,0,0.2,0,0
1.66,5,0,0.2,0,0
1.68,5,0,0.2,0,0
1.7,5,0,0.2,0,0
1.72,5,0,0.2,0,0
1.74,5,0,0.2,0,0
1.76,5,0,0.2,0,0
1.78,5,0,0.2,0,0
1.8,5,0,0.2,0,0
1.82,5,0,0.2,0,0
1.84,5,0,0.2,0,0
1.86,5,0,0.2,0,0
1.88,5,0,0.2,0,0
1.9,5,0,0.2,0,0
1.92,5,0,0.2,0,0
1.94,5,0,0.2,0,0
1.96,5,0,0.2,0,0
1.98,5,0,0.2,0,0
2,5,0,0.2,0,0
2.02,5,0,0.2,0,0
2.04,5,0,0.2,0,0
2.06,5,0,0.2,0,0
2.08,5,0,0.2,0,0
2.1,5,0,0.2,0,0
2.12,5,0,0.2,0,0
2.14,5,0,0.2,0,0
2.16,5,0,0.2,0,0
2.18,5,0,0.2,0,0
2.2,5,0,0.2,0,0
2.22,5,0,0.2,0,0
2.24,5,0,0.2,0,0
2.26,5,0,0.2,0,0
2.28,5,0,0.2,0,0
2.3,5,0,0.2,0,0
2.32,5,0,0.2,0,0
2.34,5,0,0.2,0,0
2.36,5,0,0.2,0,0
2.38,5,0,0.2,0,0
2.4,5,0,0.2,0,0
2.42,5,0,0.2,0,0
2.44,5,0,0.2,0,0
2.46,5,0,0.2,0,0
2.48,5,0,0.2,0,0
2.5,5,0,0.2,0,0
2.52,5,0,0.2,0,0
2.54,5,0,0.2,0,0
2.56,5,0,0.2,0,0
2.58,5,0,0.2,0,0
2.6,5,0,0.2,0,0
2.62,5,0,0.2,0,0
2.64,5,0,0.2,0,0
2.66,5,0,0.2,0,0
2.68,5,0,0.2,0,0
2.7,5,0,0.2,0,0
2.72,5,0,0.2,0,0
2.74,5,0,0.2,0,0
2.76,5,0,0.2,0,0
2.78,5,0,0.2,0,0
2.8,5,0,0.2,0,0
2.82,5,0,0.2,0,0
2.84,5,0,0.2,0,0
2.86,5,0,0.2,0,0
2.88,5,0,0.2,0,0
2.9,5,0,0.2,0,0
2.92,5,0,0.2,0,0
2.94,5,0,0.2,0,0
2.96,5,0,0.2,0,0
2.98,5,0,0.2,0,0
3,5,0,0.2,0,0
3.02,5,0,0.2,0,0
3.04,5,0,0.2,0,0
3.06,5,0,0.2,0,0
3.08,5,0,0.2,0,0
3.1,5,0,0.2,0,0
3.12,5,0,0.2,0,0
3.14,5,0,0.2,0,0
3.16,5,0,0.2,0,0
3.18,5,0,0.2,0,0
3.2,5,0,0.2,0,0
3.22,5,0,0.2,0,0
3.24,5,0,0.2,0,0
3.26,5,0,0.2,0,0
3.28,5,0,0.2,0,0
3.3,5,0,0.2,0,0
3.32,5,0,0.2,0,0
3.34,5,0,0.2,0,0
3.36,5,0,0.2,0,0
3.38,5,0,0.2,0,0
3.4,5,0,0.2,0,0
3.42,5,0,0.2,0,0
3.44,5,0,0.2,0,0
3.46,5,0,0.2,0,0
3.48,5,0,0.2,0,0
3.5,5,0,0.2,0,0
3.52,5,0,0.2,0,0
3.54,5,0,0.2,0,0
3.56,5,0,0.2,0,0
3.58,5,0,0.2,0,0
3.6,5,0,0.2,0,0
3.62,5,0,0.2,0,0
3.64,5,0,0.2,0,0
3.66,5,0,0.2,0,0
3.68,5,0,0.2,0,0
3.7,5,0,0.2,0,0
3.72,5,0,0.2,0,0
3.74,5,0,0.2,0,0
3.76,5,0,0.2,0,0
3.78,5,0,0.2,0,0
3.8,5,0,0.2,0,0
3.82,5,0,0.2,0,0
3.84,5,0,0.2,0,0
3.86,5,0,0.2,0,0
3.88,5,0,0.2,0,0
3.9,5,0,0.2,0,0
3.92,5,0,0.2,0,0
3.94,5,0,0.2,0,0
3.96,5,0,0.2,0,0
3.98,5,0,0.2,0,0
4,5,0,0.2,0,0
4.02,5,0,0.2,0,0
4.04,5,0,0.2,0,0
4.06,5,0,0.2,0,0
4.08,5,0,0.2,0,0
4.1,5,0,0.2,0,0
4.12,5,0,0.2,0,0
4.14,5,0,0.2,0,0
4.16,5,0,0.2,0,0
4.18,5,0,0.2,0,0
4.2,5,0,0.2,0,0
4.22,5,0,0.2,0,0
4.24,5,0,0.2,0,0
4.26,5,0,0.2,0,0
4.28,5,0,0.2,0,0
4.3,5,0,0.2,0,0
4.32,5,0,0.2,0,0
4.34,5,0,0.2,0,0
4.36,5,0,0.2,0,0
4.38,5,0,0.2,0,0
4.4,5,0,0.2,0,0
4.42,5,0,0.2,0,0
4.44,5,0,0.2,0,0
4.46,5,0,0.2,0,0
4.48,5,0,0.2,0,0
4.5,5,0,0.2,0,0
4.52,5,0,0.2,0,0
4.54,5,0,0.2,0,0
4.56,5,0,0.2,0,0
4.58,5,0,0.2,0,0
4.6,5,0,0.2,0,0
4.62,5,0,0.2,0,0
4.64,5,0,0.2,0,0
4.66,5,0,0.2,0,0
4.68,5,0,0.2,0,0
4.7,5,0,0.2,0,0
4.72,5,0,0.2,0,0
4.74,5,0,0.2,0,0
4.76,5,0,0.2,0,0
4.78,5,0,0.2,0,0
4.8,5,0,0.2,0,0
4.82,5,0,0.2,0,0
4.84,5,0,0.2,0,0
4.86,5,0,0.2,0,0
4.88,5,0,0.2,0,0
4.9,5,0,0.2,0,0
4.92,5,0,0.2,0,0
4.94,5,0,0.2,0,0
4.96,5,0,0.2,0,0
4.98,5,0,0.2,0,0
5,5,0,0.2,0,0
5.02,5,0,0.2,0,0
5.04,5,0,0.2,0,0
5.06,5,0,0.2,0,0
5.08,5,0,0.2,0,0
5.1,5,0,0.2,0,0
5.12,5,0,0.2,0,0
5.14,5,0,0.2,0,0
5.16,5,0,0.2,0,0
5.18,5,0,0.2,0,0
5.2,5,0,0.2,0,0
5.22,5,0,0.2,0,0
5.24,5,0,0.2,0,0
5.26,5,0,0.2,0,0
5.28,5,0,0.2,0,0
5.3,5,0,0.2,0,0
5.32,5,0,0.2,0,0
5.34,5,0,0.2,0,0
5.36,5,0,0.2,0,0
5.38,5,0,0.2,0,0
5.4,5,0,0.2,0,0
5.42,5,0,0.2,0,0
5.44,5,0,0.2,0,0
5.46,5,0,0.2,0,0
5.48,5,0,0.2,0,0
5.5,5,0,0.2,0,0
5.52,5,0,0.2,0,0
5.54,5,0,0.2,0,0
5.56,5,0,0.2,0,0
5.58,5,0,0.2,0,0
5.6,5,0,0.2,0,0
5.62,5,0,0.2,0,0
5.64,5,0,0.2,0,0
5.66,5,0,0.2,0,0
5.68,5,0,0.2,0,0
5.7,5,0,0.2,0,0
5.72,5,0,0.2,0,0
5.74,5,0,0.2,0,0
5.76,5,0,0.2,0,0
5.78,5,0,0.2,0,0
5.8,5,0,0.2,0,0
5.82,5,0,0.2,0,0
5.84,5,0,0.2,0,0
5.86,5,0,0.2,0,0
5.88,5,0,0.2,0,0
5.9,5,0,0.2,0,0
5.92,5,0,0.2,0,0
5.94,5,0,0.2,0,0
5.96,5,0,0.2,0,0
5.98,5,0,0.2,0,0
6,5,0,0.2,0,0
6.02,5,0,0.2,0,0
6.04,5,0,0.2,0,0
6.06,5,0,0.2,0,0
6.08,5,0,0.2,0,0
6.1,5,0,0.2,0,0
6.12,5,0,0.2,0,0
6.14,5,0,0.2,0,0
6.16,5,0,0.2,0,0
6.18,5,0,0.2,0,0
6.2,5,0,0.2,0,0
6.22,5,0,0.2,0,0
6.24,5,0,0.2,0,0
6.26,5,0,0.2,0,0
6.28,5,0,0.2,0,0
6.3,5,0,0.2,0,0
6.32,5,0,0.2,0,0
6.34,5,0,0.2,0,0
6.36,5,0,0.2,0,0
