x,y,theta,u,v,r
1.5,5,0,0.3,0,0
1.53,5,0,0.3,0,0
1.56,5,0,0.3,0,0
1.59,5,0,0.3,0,0
1.62,5,0,0.3,0,0
1.65,5,0,0.3,0,0
1.68,5,0,0.3,0,0
1.71,5,0,0.3,0,0
1.74,5,0,0.3,0,0
1.77,5,0,0.3,0,0
1.8,5,0,0.3,0,0
1.83,5,0,0.3,0,0
1.86,5,0,0.3,0,0
1.89,5,0,0.3,0,0
1.92,5,0,0.3,0,0
1.95,5,0,0.3,0,0
1.98,5,0,0.3,0,0
2.01,5,0,0.3,0,0
2.04,5,0,0.3,0,0
2.07,5,0,0.3,0,0
2.1,5,0,0.3,0,0
2.13,5,0,0.3,0,0
2.16,5,0,0.3,0,0
2.19,5,0,0.3,0,0
2.22,5,0,0.3,0,0
2.25,5,0,0.3,0,0
2.28,5,0,0.3,0,0
2.31,5,0,0.3,0,0
2.34,5,0,0.3,0,0
2.37,5,0,0.3,0,0
2.4,5,0,0.3,0,0
2.43,5,0,0.3,0,0
2.46,5,0,0.3,0,0
2.49,5,0,0.3,0,0
2.52,5,0,0.3,0,0
2.55,5,0,0.3,0,0
2.58,5,0,0.3,0,0
2.61,5,0,0.3,0,0
2.64,5,0,0.3,0,0
2.67,5,0,0.3,0,0
2.7,5,0,0.3,0,0
2.73,5,0,0.3,0,0
2.76,5,0,0.3,0,0
2.79,5,0,0.3,0,0
2.82,5,0,0.3,0,0
2.85,5,0,0.3,0,0
2.88,5,0,0.3,0,0
2.91,5,0,0.3,0,0
2.94,5,0,0.3,0,0
2.97,5,0,0.3,0,0
3,5,0,0.3,0,0
3.03,5,0,0.3,0,0
3.06,5,0,0.3,0,0
3.09,5,0,0.3,0,0
3.12,5,0,0.3,0,0
3.15,5,0,0.3,0,0
3.18,5,0,0.3,0,0
3.21,5,0,0.3,0,0
3.24,5,0,0.3,0,0
3.27,5,0,0.3,0,0
3.3,5,0,0.3,0,0
3.33,5,0,0.3,0,0
3.36,5,0,0.3,0,0
3.39,5,0,0.3,0,0
