x,y,theta
6,5.5,0
5.96,5.5,3.141592654
5.92,5.5,3.141592654
5.88,5.5,3.141592654
5.84,5.5,3.141592654
5.8,5.5,3.141592654
5.76,5.5,3.141592654
5.72,5.5,3.141592654
5.68,5.5,3.141592654
5.64,5.5,3.141592654
5.6,5.5,3.141592654
5.56,5.5,3.141592654
5.52,5.5,3.141592654
5.48,5.5,3.141592654
5.44,5.5,3.141592654
5.4,5.5,3.141592654
5.36,5.5,3.141592654
5.32,5.5,3.141592654
5.28,5.5,3.141592654
5.24,5.5,3.141592654
5.2,5.5,3.141592654
5.16,5.5,3.141592654
5.12,5.5,3.141592654
5.08,5.5,3.141592654
5.04,5.5,3.141592654
5,5.5,3.141592654
4.96,5.5,3.141592654
4.92,5.5,3.141592654
4.88,5.5,3.141592654
4.84,5.5,3.141592654
4.8,5.5,3.141592654
4.76,5.5,3.141592654
4.72,5.5,3.141592654
4.68,5.5,3.141592654
4.64,5.5,3.141592654
4.6,5.5,3.141592654
4.56,5.5,3.141592654
4.52,5.5,3.141592654
4.48,5.5,3.141592654
4.44,5.5,3.141592654
4.4,5.5,3.141592654
4.36,5.5,3.141592654
4.32,5.5,3.141592654
4.28,5.5,3.141592654
4.24,5.5,3.141592654
4.2,5.5,3.141592654
4.16,5.5,3.141592654
4.12,5.5,3.141592654
4.08,5.5,3.141592654
4.04,5.5,3.141592654
4,5.5,3.141592654
3.96,5.5,3.141592654
3.92,5.5,3.141592654
3.88,5.5,3.141592654
3.84,5.5,3.141592654
3.8,5.5,3.141592654
3.76,5.5,3.141592654
3.72,5.5,3.141592654
3.68,5.5,3.141592654
3.64,5.5,3.141592654
3.6,5.5,3.141592654
3.56,5.5,3.141592654
3.52,5.5,3.141592654
3.48,5.5,3.141592654
3.44,5.5,3.141592654
3.4,5.5,3.141592654
3.36,5.5,3.141592654
3.32,5.5,3.141592654
3.28,5.5,3.141592654
3.24,5.5,3.141592654
3.2,5.5,3.141592654
3.16,5.5,3.141592654
3.12,5.5,3.141592654
3.08,5.5,3.141592654
3.04,5.5,3.141592654
3,5.5,3.141592654
2.96,5.5,3.141592654
2.92,5.5,3.141592654
2.88,5.5,3.141592654
2.84,5.5,3.141592654
2.8,5.5,3.141592654
2.76,5.5,3.141592654
