x,y,theta
6,1,0
5.96,1,3.141592654
5.92,1,3.141592654
5.88,1,3.141592654
5.84,1,3.141592654
5.8,1,3.141592654
5.76,1,3.141592654
5.72,1,3.141592654
5.68,1,3.141592654
5.64,1,3.141592654
5.6,1,3.141592654
5.56,1,3.141592654
5.52,1,3.141592654
5.48,1,3.141592654
5.44,1,3.141592654
5.4,1,3.141592654
5.36,1,3.141592654
5.32,1,3.141592654
5.28,1,3.141592654
5.24,1,3.141592654
5.2,1,3.141592654
5.16,1,3.141592654
5.12,1,3.141592654
5.08,1,3.141592654
5.04,1,3.141592654
5,1,3.141592654
4.96,1,3.141592654
4.92,1,3.141592654
4.88,1,3.141592654
4.84,1,3.141592654
4.8,1,3.141592654
4.76,1,3.141592654
4.72,1,3.141592654
4.68,1,3.141592654
4.64,1,3.141592654
4.6,1,3.141592654
4.56,1,3.141592654
4.52,1,3.141592654
4.48,1,3.141592654
4.44,1,3.141592654
4.4,1,3.141592654
4.36,1,3.141592654
4.32,1,3.141592654
4.28,1,3.141592654
4.24,1,3.141592654
4.2,1,3.141592654
4.16,1,3.141592654
4.12,1,3.141592654
4.08,1,3.141592654
4.04,1,3.141592654
4,1,3.141592654
3.96,1,3.141592654
3.92,1,3.141592654
3.88,1,3.141592654
3.84,1,3.141592654
3.8,1,3.141592654
3.76,1,3.141592654
3.72,1,3.141592654
3.68,1,3.141592654
3.64,1,3.141592654
3.6,1,3.141592654
3.56,1,3.141592654
3.52,1,3.141592654
3.48,1,3.141592654
3.44,1,3.141592654
3.4,1,3.141592654
3.36,1,3.141592654
3.32,1,3.141592654
3.28,1,3.141592654
3.24,1,3.141592654
3.2,1,3.141592654
3.16,1,3.141592654
3.12,1,3.141592654
3.08,1,3.141592654
3.04,1,3.141592654
3,1,3.141592654
2.96,1,3.141592654
2.92,1,3.141592654
2.88,1,3.141592654
2.84,1,3.141592654
2.8,1,3.141592654
2.76,1,3.141592654
2.72,1,3.141592654
2.68,1,3.141592654
2.64,1,3.141592654
2.6,1,3.141592654
2.56,1,3.141592654
2.52,1,3.141592654
2.48,1,3.141592654
2.44,1,3.141592654
2.4,1,3.141592654
2.36,1,3.141592654
2.32,1,3.141592654
2.28,1,3.141592654
2.24,1,3.141592654
2.2,1,3.141592654
2.16,1,3.141592654
2.12,1,3.141592654
2.08,1,3.141592654
2.04,1,3.141592654
2,1,3.141592654
1.96,1,3.141592654
1.92,1,3.141592654
1.88,1,3.141592654
1.84,1,3.141592654
1.8,1,3.141592654
1.76,1,3.141592654
1.72,1,3.141592654
1.68,1,3.141592654
1.64,1,3.141592654
1.6,1,3.141592654
1.56,1,3.141592654
1.52,1,3.141592654
1.48,1,3.141592654
1.44,1,3.141592654
1.44,1.04,1.570796327
1.44,1.08,1.570796327
1.44,1.12,1.570796327
1.44,1.16,1.570796327
1.44,1.2,1.570796327
1.44,1.24,1.570796327
1.44,1.28,1.570796327
1.44,1.32,1.570796327
1.44,1.36,1.570796327
1.44,1.4,1.570796327
1.44,1.44,1.570796327
1.44,1.48,1.570796327
1.44,1.52,1.570796327
1.44,1.56,1.570796327
1.44,1.6,1.570796327
1.44,1.64,1.570796327
1.44,1.68,1.570796327
1.44,1.72,1.570796327
1.44,1.76,1.570796327
1.44,1.8,1.570796327
1.44,1.84,1.570796327
1.44,1.88,1.570796327
1.44,1.92,1.570796327
1.44,1.96,1.570796327
1.44,2,1.570796327
1.44,2.04,1.570796327
1.44,2.08,1.570796327
1.44,2.12,1.570796327
1.44,2.16,1.570796327
1.44,2.2,1.570796327
1.44,2.24,1.570796327
1.44,2.28,1.570796327
1.44,2.32,1.570796327
1.44,2.36,1.570796327
1.44,2.4,1.570796327
1.44,2.44,1.570796327
1.44,2.48,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
1.44,2.52,1.570796327
