x,y,theta
0.5,0.0,3.1415
0.5,0.04,3.1415
0.5,0.08,3.1415
0.5,0.12,3.1415
0.5,0.16,3.1415
0.5,0.2,3.1415
0.5,0.24,3.1415
0.5,0.28,3.1415
0.5,0.32,3.1415
0.5,0.36,3.1415
0.5,0.4,3.1415
0.5,0.44,3.1415
0.5,0.48,3.1415
0.5,0.52,3.1415
0.5,0.56,3.1415
0.5,0.6,3.1415
0.5,0.64,3.1415
0.5,0.68,3.1415
0.5,0.72,3.1415
0.5,0.76,3.1415
0.5,0.8,3.1415
0.5,0.84,3.1415
0.5,0.88,3.1415
0.5,0.92,3.1415
0.5,0.96,3.1415
0.5,1,3.1415
0.5,1.04,3.1415
0.5,1.08,3.1415
0.5,1.12,3.1415
0.5,1.16,3.1415
0.5,1.2,3.1415
0.5,1.24,3.1415
0.5,1.28,3.1415
0.5,1.32,3.1415
0.5,1.36,3.1415
0.5,1.4,3.1415
0.5,1.44,3.1415
0.5,1.48,3.1415
0.5,1.52,3.1415
0.5,1.56,3.1415
0.5,1.6,3.1415
0.5,1.64,3.1415
0.5,1.68,3.1415
0.5,1.72,3.1415
0.5,1.76,3.1415
0.5,1.8,3.1415
0.5,1.84,3.1415
0.5,1.88,3.1415
0.5,1.92,3.1415
0.5,1.96,3.1415
0.5,2,3.1415
0.5,2.04,3.1415
0.5,2.08,3.1415
0.5,2.12,3.1415
0.5,2.16,3.1415
0.5,2.2,3.1415
0.5,2.24,3.1415
0.5,2.28,3.1415
0.5,2.32,3.1415
0.5,2.36,3.1415
0.5,2.4,3.1415
0.5,2.44,3.1415
0.5,2.48,3.1415
0.5,2.52,3.1415
0.5,2.56,3.1415
0.5,2.6,3.1415
0.5,2.64,3.1415
0.5,2.68,3.1415
0.5,2.72,3.1415
0.5,2.76,3.1415
0.5,2.8,3.1415
0.5,2.84,3.1415
0.5,2.88,3.1415
0.5,2.92,3.1415
0.5,2.96,3.1415
0.5,3,3.1415
0.5,3.04,3.1415
0.5,3.08,3.1415
0.5,3.12,3.1415
0.5,3.16,3.1415
0.5,3.2,3.1415
0.5,3.24,3.1415
0.5,3.28,3.1415
0.5,3.32,3.1415
0.5,3.36,3.1415
0.5,3.4,3.1415
0.5,3.44,3.1415
0.5,3.48,3.1415
0.5,3.52,3.1415
0.5,3.56,3.1415
0.5,3.6,3.1415
0.5,3.64,3.1415
0.5,3.68,3.1415
0.5,3.72,3.1415
0.5,3.76,3.1415
0.5,3.8,3.1415
0.5,3.84,3.1415
0.5,3.88,3.1415
0.5,3.92,3.1415
0.5,3.96,3.1415
0.5,4,3.1415
0.5,4.04,3.1415
0.5,4.08,3.1415
0.5,4.12,3.1415
0.5,4.16,3.1415
0.5,4.2,3.1415
0.5,4.24,3.1415
0.5,4.28,3.1415
0.5,4.32,3.1415
0.5,4.36,3.1415
0.5,4.4,3.1415
0.5,4.44,3.1415
0.5,4.48,3.1415
0.5,4.52,3.1415
0.5,4.56,3.1415
0.5,4.6,3.1415
0.5,4.64,3.1415
0.5,4.68,3.1415
0.5,4.72,3.1415
0.5,4.76,3.1415
0.5,4.8,3.1415
0.5,4.84,3.1415
0.5,4.88,3.1415
0.5,4.92,3.1415
0.5,4.96,3.1415
0.5,5,3.1415
0.5,5.04,3.1415
0.5,5.08,3.1415
0.5,5.12,3.1415
0.5,5.16,3.1415
0.5,5.2,3.1415
0.5,5.24,3.1415
0.5,5.28,3.1415
0.5,5.32,3.1415
0.5,5.36,3.1415
0.5,5.4,3.1415
0.5,5.44,3.1415
0.5,5.48,3.1415
0.5,5.52,3.1415
0.5,5.56,3.1415
0.5,5.6,3.1415
0.5,5.64,3.1415
0.5,5.68,3.1415
0.5,5.72,3.1415
0.5,5.76,3.1415
0.5,5.8,3.1415
