x,y,theta
6,0.5,3.1415926
5.96,0.5,3.1415926
5.92,0.5,3.1415926
5.88,0.5,3.1415926
5.84,0.5,3.1415926
5.8,0.5,3.1415926
5.76,0.5,3.1415926
5.72,0.5,3.1415926
5.68,0.5,3.1415926
5.64,0.5,3.1415926
5.6,0.5,3.1415926
5.56,0.5,3.1415926
5.52,0.5,3.1415926
5.48,0.5,3.1415926
5.44,0.5,3.1415926
5.4,0.5,3.1415926
5.36,0.5,3.1415926
5.32,0.5,3.1415926
5.28,0.5,3.1415926
5.24,0.5,3.1415926
5.2,0.5,3.1415926
5.16,0.5,3.1415926
5.12,0.5,3.1415926
5.08,0.5,3.1415926
5.04,0.5,3.1415926
5,0.5,3.1415926
4.96,0.5,3.1415926
4.92,0.5,3.1415926
4.88,0.5,3.1415926
4.84,0.5,3.1415926
4.8,0.5,3.1415926
4.76,0.5,3.1415926
4.72,0.5,3.1415926
4.68,0.5,3.1415926
4.64,0.5,3.1415926
4.6,0.5,3.1415926
4.56,0.5,3.1415926
4.52,0.5,3.1415926
4.48,0.5,3.1415926
4.44,0.5,3.1415926
4.4,0.5,3.1415926
4.36,0.5,3.1415926
4.32,0.5,3.1415926
4.28,0.5,3.1415926
4.24,0.5,3.1415926
4.2,0.5,3.1415926
4.16,0.5,3.1415926
4.12,0.5,3.1415926
4.08,0.5,3.1415926
4.04,0.5,3.1415926
4,0.5,3.1415926
3.96,0.5,3.1415926
3.92,0.5,3.1415926
3.88,0.5,3.1415926
3.84,0.5,3.1415926
3.8,0.5,3.1415926
3.76,0.5,3.1415926
3.72,0.5,3.1415926
3.68,0.5,3.1415926
3.64,0.5,3.1415926
3.6,0.5,3.1415926
3.56,0.5,3.1415926
3.52,0.5,3.1415926
3.48,0.5,3.1415926
3.44,0.5,3.1415926
3.4,0.5,3.1415926
3.36,0.5,3.1415926
3.32,0.5,3.1415926
3.28,0.5,3.1415926
3.24,0.5,3.1415926
3.2,0.5,3.1415926
3.16,0.5,3.1415926
3.12,0.5,3.1415926
3.08,0.5,3.1415926
3.04,0.5,3.1415926
3,0.5,3.1415926
2.96,0.5,3.1415926
2.92,0.5,3.1415926
2.88,0.5,3.1415926
2.84,0.5,3.1415926
2.8,0.5,3.1415926
2.76,0.5,3.1415926
2.72,0.5,3.1415926
2.68,0.5,3.1415926
2.64,0.5,3.1415926
2.6,0.5,3.1415926
2.56,0.5,3.1415926
2.52,0.5,3.1415926
2.48,0.5,3.1415926
2.44,0.5,3.1415926
2.4,0.5,3.1415926
2.36,0.5,3.1415926
2.32,0.5,3.1415926
2.28,0.5,3.1415926
2.24,0.5,3.1415926
2.2,0.5,3.1415926
2.16,0.5,3.1415926
2.12,0.5,3.1415926
2.08,0.5,3.1415926
2.04,0.5,3.1415926
2,0.5,3.1415926
1.96,0.5,3.1415926
1.92,0.5,3.1415926
1.88,0.5,3.1415926
1.84,0.5,3.1415926
1.8,0.5,3.1415926
1.76,0.5,3.1415926
1.72,0.5,3.1415926
1.68,0.5,3.1415926
1.64,0.5,3.1415926
1.6,0.5,3.1415926
1.56,0.5,3.1415926
1.52,0.5,3.1415926
1.48,0.5,3.1415926
1.44,0.5,3.1415926
1.4,0.5,3.1415926
1.36,0.5,3.1415926
1.32,0.5,3.1415926
1.28,0.5,3.1415926
1.24,0.5,3.1415926
1.2,0.5,3.1415926
1.16,0.5,3.1415926
1.12,0.5,3.1415926
1.08,0.5,3.1415926
1.04,0.5,3.1415926
1,0.5,3.1415926
0.96,0.5,3.1415926
0.92,0.5,3.1415926
0.88,0.5,3.1415926
0.84,0.5,3.1415926
0.8,0.5,3.1415926
0.76,0.5,3.1415926
0.72,0.5,3.1415926
0.68,0.5,3.1415926
0.64,0.5,3.1415926
0.6,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
0.56,0.5,3.1415926
