x,y,theta
9.92,3,3.141592654
9.88,3,3.141592654
9.84,3,3.141592654
9.8,3,3.141592654
9.76,3,3.141592654
9.72,3,3.141592654
9.68,3,3.141592654
9.64,3,3.141592654
9.6,3,3.141592654
9.56,3,3.141592654
9.52,3,3.141592654
9.48,3,3.141592654
9.44,3,3.141592654
9.4,3,3.141592654
9.36,3,3.141592654
9.32,3,3.141592654
9.28,3,3.141592654
9.24,3,3.141592654
9.2,3,3.141592654
9.16,3,3.141592654
9.12,3,3.141592654
9.08,3,3.141592654
9.04,3,3.141592654
9,3,3.141592654
8.96,3,3.141592654
8.92,3,3.141592654
8.88,3,3.141592654
8.84,3,3.141592654
8.8,3,3.141592654
8.76,3,3.141592654
8.72,3,3.141592654
8.68,3,3.141592654
8.64,3,3.141592654
8.6,3,3.141592654
8.56,3,3.141592654
8.52,3,3.141592654
8.48,3,3.141592654
8.44,3,3.141592654
8.4,3,3.141592654
8.36,3,3.141592654
8.32,3,3.141592654
8.28,3,3.141592654
8.24,3,3.141592654
8.2,3,3.141592654
8.16,3,3.141592654
8.12,3,3.141592654
8.08,3,3.141592654
8.04,3,3.141592654
8,3,3.141592654
7.96,3,3.141592654
7.92,3,3.141592654
7.88,3,3.141592654
7.84,3,3.141592654
7.8,3,3.141592654
7.76,3,3.141592654
7.72,3,3.141592654
7.68,3,3.141592654
7.64,3,3.141592654
7.6,3,3.141592654
7.56,3,3.141592654
7.52,3,3.141592654
7.48,3,3.141592654
7.44,3,3.141592654
7.4,3,3.141592654
7.36,3,3.141592654
7.32,3,3.141592654
7.28,3,3.141592654
7.24,3,3.141592654
7.2,3,3.141592654
7.16,3,3.141592654
7.12,3,3.141592654
7.08,3,3.141592654
7.04,3,3.141592654
7,3,3.141592654
6.96,3,3.141592654
6.92,3,3.141592654
6.88,3,3.141592654
6.84,3,3.141592654
6.8,3,3.141592654
6.76,3,3.141592654
6.72,3,3.141592654
6.68,3,3.141592654
6.64,3,3.141592654
6.6,3,3.141592654
6.56,3,3.141592654
6.52,3,3.141592654
6.48,3,3.141592654
6.44,3,3.141592654
6.4,3,3.141592654
6.36,3,3.141592654
6.32,3,3.141592654
6.28,3,3.141592654
6.24,3,3.141592654
6.2,3,3.141592654
6.16,3,3.141592654
6.12,3,3.141592654
6.08,3,3.141592654
6.04,3,3.141592654
6,3,3.141592654
5.96,3,3.141592654
5.92,3,3.141592654
5.88,3,3.141592654
5.84,3,3.141592654
5.8,3,3.141592654
5.76,3,3.141592654
5.72,3,3.141592654
5.68,3,3.141592654
5.64,3,3.141592654
5.6,3,3.141592654
5.56,3,3.141592654
5.52,3,3.141592654
5.48,3,3.141592654
5.44,3,3.141592654
5.4,3,3.141592654
5.36,3,3.141592654
5.32,3,3.141592654
5.28,3,3.141592654
5.24,3,3.141592654
5.2,3,3.141592654
5.16,3,3.141592654
5.12,3,3.141592654
5.08,3,3.141592654
5.04,3,3.141592654
5,3,3.141592654
4.96,3,3.141592654
4.92,3,3.141592654
4.88,3,3.141592654
4.84,3,3.141592654
4.8,3,3.141592654
4.76,3,3.141592654
4.72,3,3.141592654
4.68,3,3.141592654
4.64,3,3.141592654
4.6,3,3.141592654
4.56,3,3.141592654
4.52,3,3.141592654
4.48,3,3.141592654
4.44,3,3.141592654
4.4,3,3.141592654
4.36,3,3.141592654
4.32,3,3.141592654
4.28,3,3.141592654
4.24,3,3.141592654
4.2,3,3.141592654
4.16,3,3.141592654
4.12,3,3.141592654
4.08,3,3.141592654
4.04,3,3.141592654
4,3,3.141592654
3.96,3,3.141592654
3.92,3,3.141592654
3.88,3,3.141592654
3.84,3,3.141592654
3.8,3,3.141592654
3.76,3,3.141592654
3.72,3,3.141592654
3.68,3,3.141592654
3.64,3,3.141592654
3.6,3,3.141592654
3.56,3,3.141592654
3.52,3,3.141592654
3.48,3,3.141592654
3.44,3,3.141592654
3.4,3,3.141592654
3.36,3,3.141592654
3.32,3,3.141592654
3.28,3,3.141592654
3.24,3,3.141592654
3.2,3,3.141592654
3.16,3,3.141592654
3.12,3,3.141592654
3.08,3,3.141592654
3.04,3,3.141592654
3,3,3.141592654
2.96,3,3.141592654
2.92,3,3.141592654
2.88,3,3.141592654
2.84,3,3.141592654
2.8,3,3.141592654
2.76,3,3.141592654
2.72,3,3.141592654
2.68,3,3.141592654
2.64,3,3.141592654
2.6,3,3.141592654
2.56,3,3.141592654
2.52,3,3.141592654
2.48,3,3.141592654
2.44,3,3.141592654
2.4,3,3.141592654
2.36,3,3.141592654
2.32,3,3.141592654
2.28,3,3.141592654
2.24,3,3.141592654
2.2,3,3.141592654
2.16,3,3.141592654
2.12,3,3.141592654
2.08,3,3.141592654
2.04,3,3.141592654
2,3,3.141592654
1.96,3,3.141592654
