x,y,theta,u,v,r
0,3,0.5,0.2,0,0
0.014142136,3.014142136,0.785398163,0.2,4.44089E-16,0.235987756
0.028284978,3.028283564,0.785348162,0.2,1.34615E-15,-0.000500017
0.042429943,3.04242287,0.785198127,0.2,7.63278E-16,-0.00150035
0.056578444,3.056558638,0.784947953,0.2,-3.05311E-16,-0.002501734
0.070731899,3.070689445,0.784597456,0.2,-8.04912E-16,-0.00350497
0.084891726,3.084813867,0.78414637,0.2,-1.47105E-15,-0.004510863
0.099059349,3.098930469,0.783594348,0.2,6.52256E-16,-0.005520221
0.113236192,3.113037812,0.782940962,0.2,1.1241E-15,-0.006533859
0.127423685,3.127134444,0.782185703,0.2,-1.05471E-15,-0.007552594
0.141623265,3.141218902,0.781327977,0.2,1.3739E-15,-0.008577257
0.155836371,3.155289709,0.780367109,0.2,1.59595E-15,-0.009608682
0.170064451,3.169345374,0.779302337,0.2,1.11022E-15,-0.010647716
0.18430896,3.18338439,0.778132815,0.2,1.34615E-15,-0.011695219
0.19857136,3.197405229,0.776857609,0.2,-1.06859E-15,-0.01275206
0.212853122,3.211406346,0.775475697,0.2,0,-0.013819124
0.227155726,3.225386172,0.773985966,0.2,7.91034E-16,-0.014897313
0.241480662,3.239343113,0.772387211,0.2,1.38778E-16,-0.015987542
0.255829431,3.253275551,0.770678137,0.2,9.85323E-16,-0.017090748
0.270203544,3.26718184,0.768857348,0.2,-1.41553E-15,-0.018207885
0.284604524,3.281060304,0.766923355,0.2,-6.93889E-17,-0.019339927
0.299033909,3.294909234,0.764874568,0.2,-4.30211E-16,-0.020487872
0.313493246,3.308726889,0.762709294,0.2,-9.4369E-16,-0.021652742
0.327984099,3.322511488,0.760425736,0.2,7.63278E-16,-0.02283558
0.342508045,3.336261215,0.75802199,0.2,7.49401E-16,-0.024037459
0.357066675,3.349974212,0.755496042,0.2,1.02696E-15,-0.025259477
0.371661597,3.363648576,0.752845766,0.2,8.74301E-16,-0.026502763
0.386294435,3.37728236,0.750068919,0.2,-8.60423E-16,-0.027768474
0.400966828,3.390873567,0.747163139,0.2,1.34615E-15,-0.029057799
0.415680432,3.404420147,0.744125943,0.2,9.02056E-16,-0.03037196
0.430436921,3.41792,0.740954722,0.2,-2.91434E-16,-0.031712212
0.445237987,3.431370965,0.737646737,0.2,-1.38778E-16,-0.033079845
0.460085339,3.444770821,0.734199119,0.2,1.80411E-16,-0.034476184
0.474980703,3.458117286,0.730608859,0.2,8.74301E-16,-0.035902592
0.489925827,3.471408007,0.726872813,0.2,-4.16334E-16,-0.037360469
0.504922474,3.484640565,0.722987688,0.2,4.02456E-16,-0.03885125
0.519972427,3.497812464,0.718950046,0.2,-6.52256E-16,-0.040376413
