x,y,theta
2,3.5,0
2.04,3.5,0
2.08,3.5,0
2.12,3.5,0
2.16,3.5,0
2.2,3.5,0
2.24,3.5,0
2.28,3.5,0
2.32,3.5,0
2.36,3.5,0
2.4,3.5,0
2.44,3.5,0
2.48,3.5,0
2.52,3.5,0
2.56,3.5,0
2.6,3.5,0
2.64,3.5,0
2.68,3.5,0
2.72,3.5,0
2.76,3.5,0
2.8,3.5,0
2.84,3.5,0
2.88,3.5,0
2.92,3.5,0
2.96,3.5,0
3,3.5,0
3.04,3.5,0
3.08,3.5,0
3.12,3.5,0
3.16,3.5,0
3.2,3.5,0
3.24,3.5,0
3.28,3.5,0
3.32,3.5,0
3.36,3.5,0
3.4,3.5,0
3.44,3.5,0
3.48,3.5,0
3.52,3.5,0
3.56,3.5,0
3.6,3.5,0
3.64,3.5,0
3.68,3.5,0
3.72,3.5,0
3.76,3.5,0
3.8,3.5,0
3.84,3.5,0
3.88,3.5,0
3.92,3.5,0
3.96,3.5,0
4,3.5,0
4.04,3.5,0
4.08,3.5,0
4.12,3.5,0
4.16,3.5,0
4.2,3.5,0
4.24,3.5,0
4.28,3.5,0
4.32,3.5,0
4.36,3.5,0
4.4,3.5,0
4.44,3.5,0
4.48,3.5,0
4.52,3.5,0
4.56,3.5,0
4.6,3.5,0
4.64,3.5,0
4.68,3.5,0
4.72,3.5,0
4.76,3.5,0
4.8,3.5,0
4.84,3.5,0
4.88,3.5,0
4.92,3.5,0
4.96,3.5,0
5,3.5,0
5.04,3.5,0
5.08,3.5,0
5.12,3.5,0
5.16,3.5,0
5.2,3.5,0
5.24,3.5,0
5.28,3.5,0
5.32,3.5,0
5.36,3.5,0
5.4,3.5,0
5.44,3.5,0
5.48,3.5,0
5.52,3.5,0
5.56,3.5,0
5.6,3.5,0
5.64,3.5,0
5.68,3.5,0
5.72,3.5,0
5.76,3.5,0
5.8,3.5,0
5.84,3.5,0
5.88,3.5,0
5.92,3.5,0
5.96,3.5,0
6,3.5,0
6.04,3.5,0
6.08,3.5,0
6.12,3.5,0
6.16,3.5,0
6.2,3.5,0
